Month,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1225489,-,-,-,40.53,-74.58,-5,18,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,Degrees,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
January,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Relative Humidity,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,11,30,139,515,366,-4,57.64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,12,30,80,850,456,-4,59.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,13,30,75,822,401,-3,56.88,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,14,30,65,749,295,-3,62.19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,15,30,47,581,151,-2,75.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,16,30,11,145,14,-2,83.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,17,30,0,0,0,-2,81.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,18,30,0,0,0,-3,85.66,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,19,30,0,0,0,-3,83.42,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,20,30,0,0,0,-3,87.96,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,21,30,0,0,0,-3,86.78,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,22,30,0,0,0,-3,86.35,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,2,23,30,0,0,0,-3,87.31,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,0,30,0,0,0,-3,83.12,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,1,30,0,0,0,-3,85.4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,2,30,0,0,0,-2,87.21,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,3,30,0,0,0,-2,96.01,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,4,30,0,0,0,-2,97.86,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,5,30,0,0,0,-2,98.81,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,6,30,0,0,0,-2,92.28,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,7,30,0,0,0,-2,86.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,8,30,40,607,142,-1,83.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,9,30,56,782,290,0,76.34,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,10,30,65,855,401,0,66.48,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,11,30,69,884,460,-1,58.3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,12,30,70,881,461,-1,58.03,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,13,30,66,852,406,-1,59.24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,14,30,61,768,298,-1,64.69,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,15,30,47,589,154,0,75.82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,16,30,12,146,16,0,87.71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,17,30,0,0,0,-1,92.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,18,30,0,0,0,-1,89.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,19,30,0,0,0,-1,87.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,20,30,0,0,0,-1,86.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,21,30,0,0,0,-1,86.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,22,30,0,0,0,-1,86.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,3,23,30,0,0,0,-1,92.97,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,0,30,0,0,0,-2,92,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,1,30,0,0,0,-2,89.38,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,2,30,0,0,0,-3,86.04,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,3,30,0,0,0,-3,88.29,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,4,30,0,0,0,-4,84.33,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,5,30,0,0,0,-4,81.46,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,6,30,0,0,0,-5,84.65,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,7,30,0,0,0,-6,73.92,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,8,30,45,586,144,-7,65.14,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,9,30,60,784,295,-9,52.74,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,10,30,64,884,411,-10,49.14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,11,30,66,921,474,-10,47.27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,12,30,66,923,477,-11,46.24,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,13,30,62,895,421,-11,45.24,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,14,30,56,823,312,-11,47.39,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,15,30,42,667,165,-12,52.96,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,16,30,13,231,19,-12,54.5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,17,30,0,0,0,-13,55.8,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,18,30,0,0,0,-14,57.19,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,19,30,0,0,0,-14,54.72,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,20,30,0,0,0,-15,57.08,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,21,30,0,0,0,-15,55.49,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,22,30,0,0,0,-15,58.5,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,4,23,30,0,0,0,-16,56.81,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,0,30,0,0,0,-16,59.87,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,1,30,0,0,0,-16,59.1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,2,30,0,0,0,-16,58.89,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,3,30,0,0,0,-16,64.16,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,4,30,0,0,0,-16,64.77,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,5,30,0,0,0,-16,65.62,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,6,30,0,0,0,-15,72.15,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,7,30,0,0,0,-15,67.5,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,8,30,38,704,157,-15,62.4,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,9,30,51,864,310,-15,54.5,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,10,30,58,933,426,-15,48.85,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,11,30,61,960,488,-14,44.19,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,12,30,61,959,490,-13,40.3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,13,30,58,931,433,-13,39.22,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,1,5,14,30,52,863,322,-12,41.21,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
